pincode,place,state,district,lat,lng
110001,New Delhi G.P.O.,Delhi,Central Delhi,28.6431,77.2197
110002,Civic Centre,Delhi,Central Delhi,28.6453,77.2456
110003,Delhi High Court,Delhi,South Delhi,28.5947,77.2264
110004,Rashtrapati Bhawan,Delhi,Central Delhi,28.6455,77.205
110005,Anand Parbat,Delhi,Central Delhi,28.6551,77.1833
110006,Baratooti,Delhi,North Delhi,28.7106,77.2115
110007,Gulabi Bagh,Delhi,North Delhi,28.6764,77.2074
110008,Patel Nagar South,Delhi,Central Delhi,28.6466,77.1701
110009,Model Town III,Delhi,North West Delhi,28.7121,77.206
110010,505 A B Workshop,Delhi,South West Delhi,28.5724,77.0274
110011,South Avenue,Delhi,Central Delhi,28.6431,77.2197
110012,Inderpuri,Delhi,Central Delhi,28.6431,77.2197
110013,Hazrat Nizamuddin,Delhi,South Delhi,28.5878,77.2541
110014,Jeevan Nagar,Delhi,South Delhi,28.5014,77.2274
110015,ESI,Delhi,West Delhi,28.6553,77.0657
110016,IT Hauz Khas,Delhi,South West Delhi,28.5531,77.1916
110017,Saket (South Delhi),Delhi,South Delhi,28.5189,77.2131
110018,Tilak Nagar (West Delhi),Delhi,West Delhi,28.6396,77.0884
110019,Nehru Place,Delhi,South Delhi,28.5014,77.2274
110020,F F C Okhla,Delhi,South Delhi,28.5345,77.2779
110021,Moti Bagh,Delhi,South West Delhi,28.5818,77.1793
110022,R K Puram Sect-12,Delhi,South West Delhi,28.5724,77.0274
110023,Laxmi Bai Nagar,Delhi,South West Delhi,28.5724,77.0274
110024,Krishna Market,Delhi,South Delhi,28.5724,77.2365
110025,Zakir Nagar,Delhi,South Delhi,28.5672,77.2725
110026,Shivaji Park (West Delhi),Delhi,West Delhi,28.6709,77.141
110027,Tagore Garden,Delhi,West Delhi,28.6553,77.0657
110028,Naraina Industrial Estate H.O,Delhi,South West Delhi,28.5724,77.0274
110029,Nauroji Nagar,Delhi,South West Delhi,28.565,77.1972
110030,Gadaipur,Delhi,South West Delhi,28.5724,77.0274
110031,Kailash Nagar,Delhi,East Delhi,28.6548,77.2752
110032,Babarpur (North East Delhi),Delhi,East Delhi,28.6292,77.298
110033,Adrash Nagar,Delhi,North West Delhi,28.716,77.1429
110034,Saraswati Vihar,Delhi,North West Delhi,28.716,77.1429
110035,Ganeshpura,Delhi,North West Delhi,28.6772,77.1573
110036,Alipur,Delhi,North West Delhi,28.8127,77.1616
110037,Nangal Dewat,Delhi,South West Delhi,28.548,77.1133
110038,Rajokari,Delhi,South West Delhi,28.5724,77.0274
110039,Barwala,Delhi,North West Delhi,28.805,77.0309
110040,Kanya Gurukul,Delhi,North West Delhi,28.84585,77.0934
110041,Mundka,Delhi,West Delhi,28.6735,77.014
110042,Siraspur,Delhi,North West Delhi,28.7581,77.1309
110043,Gopal Nagar,Delhi,South West Delhi,28.6032,76.9672
110044,Jaitpur,Delhi,South Delhi,28.5027,77.3084
110045,Mahavir Enclave,Delhi,South West Delhi,28.6067,77.08795
110046,Nangal Raya,Delhi,South West Delhi,28.6007,77.1087
